,Armenia,Asia central,Azerbaiyán,Belarús,Bosnia y Herzegovina,Bélgica,Chequia,Croacia,Eritrea,Eslovaquia,Eslovenia,Estonia,Etiopía,Federación de Rusia,Georgia,Kazajstán,Kirguistán,Letonia,Lituania,Luxemburgo,Macedonia del Norte,Micronesia (Estados Federados de),Montenegro,Palestina,República de Moldova,Serbia,Tayikistán,Turkmenistán,Ucrania,Uzbekistán
Armenia,1.0,0.8888999223709106,0.6418917179107666,0.37278011441230774,0.8410874009132385,-0.8683220148086548,-0.8064388036727905,-0.1462867259979248,0.7932149171829224,-0.7935009598731995,0.6523396968841553,0.35295286774635315,0.8927211761474609,0.02743486687541008,0.8692887425422668,0.694463849067688,0.8222086429595947,0.5124595165252686,-0.08070912212133408,-0.15048769116401672,-0.5652348399162292,-0.8109497427940369,0.669040858745575,0.7656097412109375,-0.42903539538383484,0.5298904180526733,0.8405683040618896,0.8937106132507324,-0.599827766418457,0.8386949300765991
Asia central,0.8888998627662659,1.0,0.8020311594009399,0.5906514525413513,0.7682517170906067,-0.8350323438644409,-0.7414059042930603,-0.27813512086868286,0.6293472051620483,-0.6415649652481079,0.6398776173591614,0.4665623605251312,0.9101851582527161,0.2869405448436737,0.8328514695167542,0.882135808467865,0.9339818954467773,0.6636108756065369,0.039858583360910416,-0.1664692759513855,-0.5033141374588013,-0.8212483525276184,0.8282595872879028,0.7364367842674255,-0.26458701491355896,0.5977773666381836,0.9415217638015747,0.8867305517196655,-0.49594590067863464,0.8789111971855164
Azerbaiyán,0.6418917179107666,0.8020311594009399,1.0,0.8633084893226624,0.4997013509273529,-0.7599060535430908,-0.5299824476242065,-0.34227484464645386,0.42527514696121216,-0.3819466531276703,0.3877323865890503,0.7123330235481262,0.7690790891647339,0.7055070400238037,0.6670311093330383,0.8849697709083557,0.8976351022720337,0.9159940481185913,0.5483951568603516,-0.379061758518219,-0.34731924533843994,-0.5059977173805237,0.6178709864616394,0.3396824896335602,0.21551910042762756,0.4018308222293854,0.8022845983505249,0.5085151195526123,-0.026453368365764618,0.5900934934616089
Belarús,0.37278011441230774,0.5906514525413513,0.8633084893226624,1.0,0.18338915705680847,-0.6567609310150146,-0.2629852592945099,-0.44951215386390686,0.09445232152938843,-0.06497146189212799,0.34105056524276733,0.764422595500946,0.4816216826438904,0.863430380821228,0.3879290819168091,0.7859083414077759,0.7472585439682007,0.9556135535240173,0.73643958568573,-0.27410808205604553,-0.0865241289138794,-0.33507847785949707,0.6763508319854736,0.007215119898319244,0.5012418627738953,0.5021247863769531,0.5717438459396362,0.20843756198883057,0.2744186818599701,0.34170499444007874
Bosnia y Herzegovina,0.8410874009132385,0.7682518362998962,0.4997013509273529,0.18338914215564728,1.0,-0.750897228717804,-0.789804220199585,0.13418856263160706,0.8605439066886902,-0.8278793692588806,0.45513513684272766,0.10652238875627518,0.8082891702651978,-0.19359458982944489,0.871640145778656,0.5489771366119385,0.6729335188865662,0.32445088028907776,-0.2752670347690582,0.14249631762504578,-0.5773589611053467,-0.7109190225601196,0.1732075959444046,0.7796827554702759,-0.6311060786247253,0.265197217464447,0.6959763765335083,0.8561007380485535,-0.6718527674674988,0.7436284422874451
Bélgica,-0.8683220148086548,-0.8350324034690857,-0.7599060535430908,-0.6567609310150146,-0.750897228717804,1.0,0.8059935569763184,0.5856882929801941,-0.767387866973877,0.7398141026496887,-0.6914098858833313,-0.5962119698524475,-0.8311131000518799,-0.5000871419906616,-0.7959780097007751,-0.7923961281776428,-0.8079760074615479,-0.802230179309845,-0.4158627390861511,0.2493313103914261,0.3482592701911926,0.7216841578483582,-0.6903376579284668,-0.6931352615356445,0.13990630209445953,-0.5948697328567505,-0.8141934275627136,-0.8333063721656799,0.7452804446220398,-0.7866275310516357
Chequia,-0.8064388036727905,-0.7414060235023499,-0.5299824476242065,-0.2629852890968323,-0.789804220199585,0.8059934973716736,1.0,0.24334703385829926,-0.8874379396438599,0.8905298113822937,-0.5571320056915283,-0.00036041252315044403,-0.9130406379699707,0.12733185291290283,-0.7618192434310913,-0.4553036391735077,-0.7421761751174927,-0.40077298879623413,0.4489123225212097,0.3301837742328644,0.6981224417686462,0.7479556798934937,-0.6308568716049194,-0.9005862474441528,0.7564557790756226,-0.3524000644683838,-0.7976534962654114,-0.8786268830299377,0.9080983400344849,-0.8728543519973755
Croacia,-0.146286740899086,-0.27813512086868286,-0.34227487444877625,-0.44951221346855164,0.13418856263160706,0.5856883525848389,0.24334704875946045,1.0,-0.008319813758134842,0.05429735779762268,-0.4033917188644409,-0.3075304627418518,-0.31083300709724426,-0.5025099515914917,-0.010015205480158329,-0.23221054673194885,-0.4663393497467041,-0.44037720561027527,-0.16116982698440552,0.7112672924995422,0.2759917080402374,0.3681984841823578,-0.7823275923728943,-0.0658387541770935,-0.22871750593185425,-0.46159738302230835,-0.4446662664413452,-0.12163156270980835,0.03114393725991249,-0.3684369921684265
Eritrea,0.7932149171829224,0.6293472051620483,0.42527514696121216,0.09445230662822723,0.8605439066886902,-0.767387866973877,-0.8874378204345703,-0.008319800719618797,1.0,-0.8757622838020325,0.5669788122177124,-0.07171832025051117,0.8356060981750488,-0.28253883123397827,0.7580417990684509,0.30228281021118164,0.6182332038879395,0.25521320104599,-0.5189968943595886,-0.41298890113830566,-0.6456096172332764,-0.6955171227455139,0.7548530697822571,0.8876025080680847,-0.8891803026199341,0.5263200998306274,0.6830111742019653,0.8370974063873291,-0.9566008448600769,0.80683434009552
Eslovaquia,-0.7935009598731995,-0.6415649652481079,-0.3819466531276703,-0.06497146189212799,-0.8278793692588806,0.7398141026496887,0.8905296921730042,0.05429735779762268,-0.8757622241973877,1.0,-0.3988274037837982,0.0896315947175026,-0.7845572829246521,0.3771805763244629,-0.7702322006225586,-0.3707468807697296,-0.605406641960144,-0.24385309219360352,0.6515170335769653,0.23294274508953094,0.6216084957122803,0.7559020519256592,-0.40376320481300354,-0.8025673031806946,0.8594422936439514,-0.17173293232917786,-0.6271596550941467,-0.8327831625938416,0.8778960108757019,-0.7233233451843262
