PC1,PC2,PC3,PC4,PC5,País
-531607.9,-92421.734,-57504.29,-2847.4993,-4317.1133,Armenia
1413914.6,651322.94,-77222.34,320736.6,-10541.6455,Asia central
-351690.94,-45969.035,-22751.39,1953.7109,642.99805,Azerbaiyán
-235863.14,59136.395,3029.92,-54453.89,-47406.734,Belarús
-476626.84,-79697.18,-68742.01,12653.634,-2983.8303,Bosnia y Herzegovina
-77895.86,-32529.887,62560.383,29050.045,7562.732,Bélgica
-66601.55,-74783.055,47326.742,63001.773,-3288.1323,Chequia
-470769.4,-88371.56,-48920.473,-1509.875,-15860.049,Croacia
-505068.78,-59176.785,3450.7507,-43431.457,93252.74,Eritrea
-377597.72,-96590.43,14521.864,-11361.363,64831.535,Eslovaquia
-491848.06,-100437.76,-56195.348,-9814.27,-11824.728,Eslovenia
-469158.53,-93130.2,-46594.27,10406.069,-5968.1074,Estonia
-238949.2,905871.4,-16820.312,-322406.4,20687.633,Etiopía
7228678.0,-226220.16,-86442.6,-110849.42,1462.8359,Federación de Rusia
-519349.78,-88302.02,-60321.496,-16151.846,-756.34564,Georgia
419650.97,140649.75,-68358.266,185889.7,86756.75,Kazajstán
-510992.47,-59578.984,-57081.562,-19082.59,-972.7494,Kirguistán
-514298.8,-94327.93,-51874.46,-20342.562,-9194.556,Letonia
-480082.94,-60829.0,-34938.113,-5595.4365,-14711.192,Lituania
-363547.7,-113541.945,151186.52,-49792.84,71835.11,Luxemburgo
-516461.53,-91751.95,-49271.473,2017.5493,-7952.7,Macedonia del Norte
-552684.1,-106405.74,-57140.75,-4471.2466,-4969.0356,Micronesia (Estados Federados de)
-295364.62,-111352.29,207553.47,-66118.56,-51955.21,Montenegro
-549046.9,-100623.73,-52248.26,-9143.767,-2035.4951,Palestina
-519114.7,-91049.95,-38822.26,-10046.541,849.3695,República de Moldova
-170571.94,-67738.2,124672.516,-27213.79,-30986.764,Serbia
-524056.88,-51415.61,-59430.28,-24970.29,-3370.2986,Tayikistán
-256888.61,10507.496,-118193.11,62345.156,-20751.639,Turkmenistán
933933.4,96167.04,533616.1,85524.95,-1047.0225,Ucrania
69962.94,162589.84,-19045.809,36024.594,-96988.11,Uzbekistán
