,Andorra,Anguila,Antillas Neerlandesas (ex),Aruba,"Ascensión, Santa Elena y Tristán de Acuña",Bermudas,"China, RAE de Macao",Groenlandia,Guadalupe,Guayana Francesa,Islas Cook,Islas Feroe,Islas Turcas y Caicos,Islas Vírgenes Británicas,Kiribati,Liechtenstein,Maldivas,Martinica,Mónaco,Nauru,Niue,Polinesia Francesa,Puerto Rico,Reunión,San Marino,Santa Sede,Tokelau,Tonga,Tuvalu
Andorra,1.0,0.22478948533535004,0.7315247058868408,0.5296013951301575,-0.4717768728733063,-0.8714576959609985,-0.7463148236274719,-0.7945644855499268,0.6547831296920776,-0.8697076439857483,-0.5795929431915283,-0.8883322477340698,-0.7278667092323303,-0.0769648626446724,-0.4980374276638031,0.9801691174507141,-0.6972052454948425,0.7843976616859436,0.9288111925125122,0.3639833927154541,0.43853262066841125,-0.5694628953933716,0.4171288311481476,-0.19851453602313995,0.17959995567798615,-0.29637575149536133,-0.22224143147468567,-0.3793414831161499,-0.7644906044006348
Anguila,0.22478945553302765,1.0,0.23734085261821747,0.11890026926994324,0.24699845910072327,0.13397414982318878,0.16823941469192505,0.36625951528549194,-0.24219493567943573,0.1676369309425354,0.3745131492614746,0.023971593007445335,0.482107549905777,0.6997207999229431,0.4173574149608612,0.1537528783082962,0.5045582056045532,-0.33596235513687134,-0.013224728405475616,-0.05243929475545883,0.16970576345920563,0.5697199702262878,-0.47116902470588684,-0.4410755932331085,0.48322394490242004,-0.402748703956604,0.4820811152458191,0.47027409076690674,0.2390793114900589
Antillas Neerlandesas (ex),0.7315247058868408,0.23734085261821747,1.0,0.5998797416687012,-0.6773807406425476,-0.81993567943573,-0.8702765703201294,-0.7376015186309814,0.1871519535779953,-0.8073010444641113,-0.6845906376838684,-0.8184957504272461,-0.6624995470046997,-0.3986928462982178,-0.4197404086589813,0.7397783398628235,-0.7150517106056213,0.6793332099914551,0.6966870427131653,-0.2799650728702545,0.18014629185199738,-0.435183048248291,0.013208083808422089,-0.6758854389190674,-0.36335256695747375,-0.7251573801040649,-0.218074232339859,-0.6587508916854858,-0.8418429493904114
Aruba,0.5296013355255127,0.11890023946762085,0.599879801273346,1.0,-0.4036386013031006,-0.4991762340068817,-0.40062886476516724,-0.3861449360847473,0.3453027904033661,-0.451410710811615,-0.3718704283237457,-0.45090198516845703,-0.3505110740661621,-0.16941915452480316,-0.011214429512619972,0.46489953994750977,-0.40306544303894043,0.28054341673851013,0.3974943459033966,-0.18400996923446655,0.005242274608463049,-0.28555622696876526,0.10078723728656769,0.08042871952056885,0.052223801612854004,-0.26080194115638733,-0.3047257661819458,-0.48298904299736023,-0.41320812702178955
"Ascensión, Santa Elena y Tristán de Acuña",-0.4717768430709839,0.24699848890304565,-0.6773807406425476,-0.403638631105423,1.0,0.5913782119750977,0.7082463502883911,0.5376335382461548,-0.18094873428344727,0.588814377784729,0.6298903226852417,0.5667416453361511,0.502848744392395,0.7403149604797363,0.390430212020874,-0.46266356110572815,0.5106330513954163,-0.5159398913383484,-0.5195589065551758,0.29205524921417236,-0.089105986058712,0.5649849772453308,-0.17937640845775604,0.2210322916507721,0.5269966721534729,0.38773322105407715,0.3361908793449402,0.7829200625419617,0.7433731555938721
Bermudas,-0.8714576363563538,0.1339741349220276,-0.81993567943573,-0.4991762340068817,0.5913781523704529,1.0,0.8807763457298279,0.9303961992263794,-0.6967913508415222,0.986396312713623,0.7981466054916382,0.9510364532470703,0.8709360957145691,0.41789233684539795,0.6742879748344421,-0.8918151259422302,0.8283815979957581,-0.899768054485321,-0.8281876444816589,-0.19253769516944885,-0.21187564730644226,0.664374828338623,-0.4178319573402405,0.08628708869218826,0.1880529522895813,0.3692259192466736,0.3042287230491638,0.6499215960502625,0.8939422965049744
"China, RAE de Macao",-0.7463147640228271,0.16823941469192505,-0.8702765703201294,-0.40062883496284485,0.7082462906837463,0.8807763457298279,1.0,0.826174795627594,-0.4048064053058624,0.8968817591667175,0.8516412377357483,0.9184519052505493,0.7593793869018555,0.5665355324745178,0.6096803545951843,-0.7947243452072144,0.724830150604248,-0.8209431171417236,-0.7316918969154358,0.022336212918162346,-0.15950384736061096,0.6122574806213379,-0.3348987400531769,0.3630883991718292,0.4621807038784027,0.5196452140808105,0.23795530200004578,0.7307650446891785,0.950631320476532
Groenlandia,-0.7945644855499268,0.36625945568084717,-0.7376015186309814,-0.3861449360847473,0.5376335382461548,0.930396318435669,0.826174795627594,1.0,-0.7561641335487366,0.9471560120582581,0.8025870323181152,0.889660656452179,0.9758925437927246,0.4566822648048401,0.749592661857605,-0.8353825807571411,0.9538351893424988,-0.9575932025909424,-0.8478620052337646,-0.3692704737186432,-0.2403537929058075,0.8218532800674438,-0.6479713916778564,-0.04231886938214302,0.16204725205898285,0.11105804145336151,0.4400797188282013,0.6275961399078369,0.8704634308815002
Guadalupe,0.6547831296920776,-0.24219493567943573,0.1871519535779953,0.3453027606010437,-0.18094874918460846,-0.6967913508415222,-0.4048064053058624,-0.7561641335487366,1.0,-0.6797734498977661,-0.4122723340988159,-0.5494289994239807,-0.79193115234375,-0.17004936933517456,-0.49581727385520935,0.6478539705276489,-0.7632606029510498,0.7668675780296326,0.7143922448158264,0.6450315713882446,0.3917744755744934,-0.6886523962020874,0.6687934398651123,0.4797593951225281,0.29714953899383545,0.28368911147117615,-0.2514224648475647,-0.20907056331634521,-0.4673031270503998
Guayana Francesa,-0.8697076439857483,0.1676369309425354,-0.8073010444641113,-0.45141077041625977,0.588814377784729,0.9863962531089783,0.8968817591667175,0.9471559524536133,-0.6797734498977661,1.0,0.8270440101623535,0.9595566391944885,0.8951357007026672,0.4173334836959839,0.7062888145446777,-0.9000492095947266,0.850548267364502,-0.9263424277305603,-0.8432640433311462,-0.23337702453136444,-0.22477108240127563,0.6920548677444458,-0.4762314260005951,0.12148776650428772,0.19760829210281372,0.3572395145893097,0.346881628036499,0.6498441100120544,0.9180074334144592
Islas Cook,-0.5795929431915283,0.3745131194591522,-0.6845906376838684,-0.3718704581260681,0.6298903226852417,0.7981466054916382,0.8516412377357483,0.8025870323181152,-0.41227230429649353,0.8270440101623535,1.0,0.7934561967849731,0.7594914436340332,0.5922355651855469,0.6189382672309875,-0.6696241497993469,0.7297360301017761,-0.7657660245895386,-0.5757871270179749,0.0011216895654797554,0.03747306391596794,0.6404443979263306,-0.37604743242263794,0.17072100937366486,0.5096275210380554,0.3752155900001526,0.2703942656517029,0.792683482170105,0.8406350016593933
Islas Feroe,-0.8883322477340698,0.023971587419509888,-0.8184957504272461,-0.45090198516845703,0.5667416453361511,0.9510363936424255,0.9184519052505493,0.8896605968475342,-0.5494289994239807,0.959556519985199,0.7934561967849731,1.0,0.8129459619522095,0.3225826323032379,0.6345576047897339,-0.9216230511665344,0.7778211832046509,-0.859159529209137,-0.8135337233543396,-0.16418446600437164,-0.15862242877483368,0.5870190262794495,-0.36927375197410583,0.3146566152572632,0.21130022406578064,0.4900861084461212,0.3101561963558197,0.6097533106803894,0.9084534645080566
Islas Turcas y Caicos,-0.7278667092323303,0.482107549905777,-0.6624996066093445,-0.3505111038684845,0.502848744392395,0.8709360957145691,0.7593794465065002,0.9758924841880798,-0.79193115234375,0.8951357007026672,0.7594914436340332,0.8129459619522095,1.0,0.48980146646499634,0.7427253723144531,-0.7672592997550964,0.9848945140838623,-0.9517271518707275,-0.8256767988204956,-0.43778541684150696,-0.2653580904006958,0.8850268721580505,-0.7336546182632446,-0.15636609494686127,0.1306637078523636,-0.03863935172557831,0.5093138217926025,0.6020545959472656,0.8212490081787109
Islas Vírgenes Británicas,-0.0769648626446724,0.6997207403182983,-0.3986928462982178,-0.16941915452480316,0.7403149008750916,0.41789233684539795,0.5665355324745178,0.4566822648048401,-0.17004936933517456,0.4173334538936615,0.5922355055809021,0.3225826323032379,0.48980146646499634,1.0,0.4194064140319824,-0.10907094925642014,0.48967108130455017,-0.4684954583644867,-0.2434825599193573,0.33737367391586304,0.11095181107521057,0.5950977802276611,-0.1942875236272812,-0.07068613916635513,0.769257664680481,0.12375778704881668,0.33260974287986755,0.7867166996002197,0.6089193224906921
Kiribati,-0.4980374574661255,0.41735735535621643,-0.4197404384613037,-0.011214431375265121,0.390430212020874,0.6742879748344421,0.6096803545951843,0.749592661857605,-0.49581727385520935,0.7062888145446777,0.6189382672309875,0.6345576047897339,0.7427253723144531,0.4194064140319824,1.0,-0.5551897287368774,0.6775057911872864,-0.7551320195198059,-0.6086665391921997,-0.3346302807331085,-0.17379343509674072,0.5705605149269104,-0.519027054309845,0.0473543219268322,0.24742884933948517,0.06146072596311569,0.27604639530181885,0.39871835708618164,0.6428956985473633
Liechtenstein,0.9801691174507141,0.15375284850597382,0.7397783994674683,0.46489953994750977,-0.46266356110572815,-0.8918151259422302,-0.7947243452072144,-0.8353825807571411,0.6478539109230042,-0.9000492095947266,-0.6696241497993469,-0.9216230511665344,-0.7672592997550964,-0.10907095670700073,-0.5551897287368774,1.0,-0.7310506701469421,0.8263248205184937,0.9193022847175598,0.3864119350910187,0.4036538600921631,-0.5942870378494263,0.46705952286720276,-0.23192627727985382,0.10331661999225616,-0.30711621046066284,-0.1921299695968628,-0.4212835431098938,-0.7998449802398682
Maldivas,-0.6972052454948425,0.5045582056045532,-0.7150517106056213,-0.40306544303894043,0.510633111000061,0.8283816576004028,0.724830150604248,0.953835129737854,-0.7632606029510498,0.8505482077598572,0.7297360301017761,0.7778211832046509,0.9848945140838623,0.4896710515022278,0.6775058507919312,-0.7310506701469421,1.0,-0.9070948958396912,-0.797354519367218,-0.4023890495300293,-0.2186756581068039,0.895764172077179,-0.7492889165878296,-0.18449309468269348,0.11742952466011047,-0.07140956819057465,0.5806899070739746,0.6148630380630493,0.7994483113288879
Martinica,0.7843976616859436,-0.33596235513687134,0.6793332099914551,0.2805434465408325,-0.5159398913383484,-0.8997681140899658,-0.8209431171417236,-0.9575932621955872,0.7668675184249878,-0.9263424277305603,-0.7657659649848938,-0.8591594696044922,-0.9517271518707275,-0.4684954583644867,-0.7551320791244507,0.8263247609138489,-0.9070947766304016,1.0,0.8705225586891174,0.44284969568252563,0.34014666080474854,-0.826494574546814,0.6510429978370667,-0.004034374840557575,-0.14883485436439514,-0.0859532356262207,-0.348974347114563,-0.5468448400497437,-0.857161283493042
Mónaco,0.9288111925125122,-0.013224761933088303,0.6966870427131653,0.3974943161010742,-0.5195589065551758,-0.8281877636909485,-0.7316918969154358,-0.8478620052337646,0.7143923044204712,-0.8432639837265015,-0.5757870674133301,-0.8135337233543396,-0.8256767988204956,-0.2434825599193573,-0.6086665391921997,0.9193022847175598,-0.7973544597625732,0.8705226182937622,1.0,0.49420052766799927,0.57301926612854,-0.7661019563674927,0.6109485626220703,-0.08500273525714874,0.1449141502380371,-0.04808902367949486,-0.2825271189212799,-0.39245256781578064,-0.7830018997192383
Nauru,0.3639833927154541,-0.05243927985429764,-0.2799650728702545,-0.18400993943214417,0.29205524921417236,-0.19253768026828766,0.022336212918162346,-0.3692704737186432,0.6450316309928894,-0.23337702453136444,0.0011216984130442142,-0.16418445110321045,-0.43778538703918457,0.33737367391586304,-0.3346302807331085,0.3864119052886963,-0.4023890495300293,0.44284969568252563,0.4942004978656769,1.0,0.5741719603538513,-0.41853848099708557,0.6914592385292053,0.3171168267726898,0.6422088146209717,0.5951778888702393,0.0009773895144462585,0.3710370659828186,-0.021873384714126587
