País,Producto,Elemento,Año,Valor,Z_score
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),1976,20640.857,84.268585
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),1985,15856.271,64.71288
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),1970,15724.732,64.175255
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),1973,14720.733,60.071682
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),1969,14059.452,57.368874
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),1971,13685.575,55.84075
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),1984,13547.08,55.274693
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),1974,13342.827,54.43986
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),1972,13270.125,54.14271
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),1962,12002.984,48.96362
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),1967,11552.916,47.124084
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),1963,11497.523,46.897682
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),1964,11179.012,45.59585
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),1961,10929.744,44.577038
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),1977,10780.894,43.968655
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),1968,10742.792,43.812923
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),1982,10555.856,43.048874
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),1965,10029.606,40.89797
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),1980,9911.917,40.416946
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),1975,9662.642,39.3981
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),1979,9631.486,39.270763
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),1981,9441.073,38.4925
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),1966,9378.738,38.237724
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),1978,9181.418,37.43123
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),1983,5425.0747,22.078194
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),1989,5067.3877,20.616243
Antillas Neerlandesas (ex),Energía,Emisiones (CO2eq) (AR5),2007,3581.9712,14.545008
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),2007,3508.0024,14.24268
Antillas Neerlandesas (ex),Energía,Emisiones (CO2eq) (AR5),2009,3450.2925,14.006806
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),2009,3389.9397,13.760131
Antillas Neerlandesas (ex),Energía,Emisiones (CO2eq) (AR5),2008,3387.1125,13.748575
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),2008,3321.4995,13.4804
Antillas Neerlandesas (ex),Energía,Emisiones (CO2eq) (AR5),2006,3173.9192,12.877205
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),2006,3103.3284,12.588684
Antillas Neerlandesas (ex),Energía,Emisiones (CO2eq) (AR5),2004,3092.0771,12.542698
Antillas Neerlandesas (ex),Energía,Emisiones (CO2eq) (AR5),2005,3068.0413,12.444458
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),1986,3039.7012,12.328626
Antillas Neerlandesas (ex),Energía,Emisiones (CO2eq) (AR5),2001,3035.8018,12.312688
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),2004,3022.252,12.257306
Antillas Neerlandesas (ex),Energía,Emisiones (CO2),2005,2995.715,12.148844
Antillas Neerlandesas (ex),Energía,Emisiones (CO2eq) (AR5),2000,2964.7634,12.022338
