Producto,Elemento,Registros,Completitud_%
Suelos agrícolas,Emisiones (CO2eq) proveniente de CH4 (AR5),9,0.051843317972350235
Suelos agrícolas,Emisiones (CH4),9,0.051843317972350235
Tanques de combustible internacional,Emisiones (CH4),33,0.19009216589861752
Tanques de combustible internacional,Emisiones (N2O),33,0.19009216589861752
Tanques de combustible internacional,Emisiones (CO2eq) proveniente de N2O (AR5),33,0.19009216589861752
Tanques de combustible internacional,Emisiones (CO2eq) proveniente de CH4 (AR5),33,0.19009216589861752
Tanques de combustible internacional,Emisiones (CO2),33,0.19009216589861752
Tanques de combustible internacional,Emisiones (CO2eq) (AR5),33,0.19009216589861752
Incendios forestales,Emisiones (CO2),93,0.5357142857142857
Incendios de sabana,Emisiones (CO2),278,1.6013824884792627
IPCC Agricultura,Emisiones (CO2),1349,7.7707373271889395
Fabricación de fertilizantes,Emisiones (N2O),2601,14.982718894009217
Fabricación de fertilizantes,Emisiones (CO2eq) proveniente de N2O (AR5),2601,14.982718894009217
Otro,Emisiones (CO2eq) proveniente de CH4 (AR5),2733,15.743087557603685
Fabricación de fertilizantes,Emisiones (CO2),3671,21.1463133640553
Fabricación de fertilizantes,Emisiones (CO2eq) (AR5),3695,21.284562211981566
Otro,Emisiones (CO2),4610,26.555299539170505
Eliminación de desechos de sistemas agroalimentarios,Emisiones (CO2),4722,27.20046082949309
Otro,Emisiones (CH4),4734,27.26958525345622
Consumo de alimentos en los hogares,Emisiones (CO2eq) proveniente de F-gases (AR5),4851,27.943548387096772
IPPU,Emisiones (CO2eq) proveniente de CH4 (AR5),5085,29.29147465437788
Envasado alimentario,Emisiones (CO2eq) proveniente de N2O (AR5),5204,29.97695852534562
Envasado alimentario,Emisiones (CO2eq) (AR5),5204,29.97695852534562
Envasado alimentario,Emisiones (CO2eq) proveniente de CH4 (AR5),5204,29.97695852534562
Envasado alimentario,Emisiones (CH4),5204,29.97695852534562
Envasado alimentario,Emisiones (N2O),5204,29.97695852534562
Envasado alimentario,Emisiones (CO2),5204,29.97695852534562
Transformación de alimentos,Emisiones (CO2eq) proveniente de F-gases (AR5),5601,32.263824884792626
Emisiones totales excluyendo LULUCF,Emisiones (CO2eq) proveniente de F-gases (AR5),6447,37.13709677419355
Emisiones totales incluyendo LULUCF,Emisiones (CO2eq) proveniente de F-gases (AR5),6447,37.13709677419355
Fabricación de pesticidas,Emisiones (CO2eq) proveniente de CH4 (AR5),6714,38.675115207373274
Fabricación de pesticidas,Emisiones (CO2eq) proveniente de N2O (AR5),6714,38.675115207373274
Venta de alimentos,Emisiones (CO2eq) proveniente de N2O (AR5),7552,43.50230414746544
Venta de alimentos,Emisiones (N2O),7552,43.50230414746544
Venta de alimentos,Emisiones (CO2),7552,43.50230414746544
Venta de alimentos,Emisiones (CO2eq) proveniente de CH4 (AR5),7552,43.50230414746544
Venta de alimentos,Emisiones (CH4),7552,43.50230414746544
Pre y post-producción,Emisiones (CO2eq) proveniente de F-gases (AR5),7709,44.406682027649765
Venta de alimentos,Emisiones (CO2eq) proveniente de F-gases (AR5),7709,44.406682027649765
Sistemas agroalimentarios,Emisiones (CO2eq) proveniente de F-gases (AR5),7709,44.406682027649765
Otro,Emisiones (CO2eq) (AR5),7847,45.20161290322581
Otro,Emisiones (CO2eq) proveniente de N2O (AR5),7847,45.20161290322581
Energía,Emisiones (CO2eq) proveniente de N2O (AR5),7848,45.2073732718894
Energía,Emisiones (CO2eq) proveniente de CH4 (AR5),7848,45.2073732718894
IPPU,Emisiones (CO2eq) proveniente de N2O (AR5),7848,45.2073732718894
Energía,Emisiones (CO2eq) (AR5),7913,45.58179723502304
Desechos,Emisiones (CO2eq) proveniente de N2O (AR5),7914,45.58755760368663
IPPU,Emisiones (CO2eq) (AR5),7946,45.77188940092166
Desechos,Emisiones (CO2eq) proveniente de CH4 (AR5),7946,45.77188940092166
Emisiones totales excluyendo LULUCF,Emisiones (CO2),7946,45.77188940092166
Desechos,Emisiones (CO2eq) (AR5),7946,45.77188940092166
Fabricación de pesticidas,Emisiones (CH4),7966,45.887096774193544
Fabricación de pesticidas,Emisiones (CO2eq) (AR5),7966,45.887096774193544
Fabricación de pesticidas,Emisiones (N2O),7966,45.887096774193544
Fabricación de pesticidas,Emisiones (CO2),7966,45.887096774193544
Consumo de alimentos en los hogares,Emisiones (CO2eq) proveniente de N2O (AR5),8017,46.18087557603687
Consumo de alimentos en los hogares,Emisiones (N2O),8017,46.18087557603687
Consumo de alimentos en los hogares,Emisiones (CH4),8017,46.18087557603687
Consumo de alimentos en los hogares,Emisiones (CO2eq) proveniente de CH4 (AR5),8017,46.18087557603687
Consumo de alimentos en los hogares,Emisiones (CO2),8017,46.18087557603687
Venta de alimentos,Emisiones (CO2eq) (AR5),8163,47.02188940092166
Emisiones en tierras agrícolas,Emisiones indirectas (N2O),8211,47.29838709677419
Farm gate,Emisiones indirectas (N2O),8211,47.29838709677419
AFOLU,Emisiones indirectas (N2O),8211,47.29838709677419
Emisiones totales excluyendo LULUCF,Emisiones indirectas (N2O),8211,47.29838709677419
Emisiones totales incluyendo LULUCF,Emisiones indirectas (N2O),8211,47.29838709677419
Sistemas agroalimentarios,Emisiones indirectas (N2O),8211,47.29838709677419
Eliminación de desechos de sistemas agroalimentarios,Emisiones (CO2eq) proveniente de N2O (AR5),8266,47.615207373271886
Eliminación de desechos de sistemas agroalimentarios,Emisiones (N2O),8266,47.615207373271886
Consumo de alimentos en los hogares,Emisiones (CO2eq) (AR5),8269,47.632488479262676
Emisiones totales incluyendo LULUCF,Emisiones directas (N2O),8318,47.914746543778804
Sistemas agroalimentarios,Emisiones directas (N2O),8318,47.914746543778804
Emisiones en tierras agrícolas,Emisiones directas (N2O),8318,47.914746543778804
Farm gate,Emisiones directas (N2O),8318,47.914746543778804
Emisiones totales excluyendo LULUCF,Emisiones directas (N2O),8318,47.914746543778804
AFOLU,Emisiones directas (N2O),8318,47.914746543778804
On-farm energy use,Emisiones (CO2eq) proveniente de CH4 (AR5),8339,48.035714285714285
On-farm energy use,Emisiones (CO2),8339,48.035714285714285
On-farm energy use,Emisiones (N2O),8339,48.035714285714285
On-farm energy use,Emisiones (CO2eq) proveniente de N2O (AR5),8339,48.035714285714285
On-farm energy use,Emisiones (CH4),8339,48.035714285714285
On-farm energy use,Emisiones (CO2eq) (AR5),8339,48.035714285714285
Eliminación de desechos de sistemas agroalimentarios,Emisiones (CO2eq) (AR5),8638,49.75806451612903
Eliminación de desechos de sistemas agroalimentarios,Emisiones (CH4),8638,49.75806451612903
Eliminación de desechos de sistemas agroalimentarios,Emisiones (CO2eq) proveniente de CH4 (AR5),8638,49.75806451612903
Pre y post-producción,Emisiones (CO2eq) proveniente de N2O (AR5),8700,50.115207373271886
Pre y post-producción,Emisiones (N2O),8700,50.115207373271886
Cambios de uso de la tierra,Emisiones (CO2eq) proveniente de CH4 (AR5),8704,50.13824884792627
Incendios en los bosques tropicales húmedos,Emisiones (CH4),8704,50.13824884792627
Cambios de uso de la tierra,Emisiones (CH4),8704,50.13824884792627
Incendios en los bosques tropicales húmedos,Emisiones (CO2eq) proveniente de N2O (AR5),8704,50.13824884792627
Incendios en los bosques tropicales húmedos,Emisiones (CO2eq) proveniente de CH4 (AR5),8704,50.13824884792627
Incendios en los bosques tropicales húmedos,Emisiones (CO2eq) (AR5),8704,50.13824884792627
Incendios en suelos de turba,Emisiones (CH4),8704,50.13824884792627
Incendios en los bosques tropicales húmedos,Emisiones (N2O),8704,50.13824884792627
Incendios en suelos de turba,Emisiones (CO2eq) proveniente de CH4 (AR5),8704,50.13824884792627
Cambios de uso de la tierra,Emisiones (CO2eq) proveniente de N2O (AR5),8704,50.13824884792627
Cambios de uso de la tierra,Emisiones (N2O),8704,50.13824884792627
Pre y post-producción,Emisiones (CO2),8736,50.32258064516129
Incendios en suelos de turba,Emisiones (CO2eq) (AR5),8764,50.483870967741936
Incendios en suelos de turba,Emisiones (CO2),8764,50.483870967741936
LULUCF,Emisiones (CO2eq) proveniente de CH4 (AR5),8770,50.5184331797235
LULUCF,Emisiones (CO2eq) proveniente de N2O (AR5),8770,50.5184331797235
Cambios de uso de la tierra,Emisiones (CO2),8836,50.89861751152074
Emisiones en tierras agrícolas,Emisiones (CO2eq) proveniente de CH4 (AR5),8836,50.89861751152074
Emisiones en tierras agrícolas,Emisiones (CH4),8836,50.89861751152074
Pre y post-producción,Emisiones (CH4),8836,50.89861751152074
Pre y post-producción,Emisiones (CO2eq) proveniente de CH4 (AR5),8836,50.89861751152074
Pre y post-producción,Emisiones (CO2eq) (AR5),8836,50.89861751152074
Farm gate,Emisiones (CO2eq) proveniente de CH4 (AR5),8836,50.89861751152074
Farm gate,Emisiones (CH4),8836,50.89861751152074
Farm gate,Emisiones (CO2),8836,50.89861751152074
Cambios de uso de la tierra,Emisiones (CO2eq) (AR5),8836,50.89861751152074
AFOLU,Emisiones (CO2eq) proveniente de CH4 (AR5),8836,50.89861751152074
AFOLU,Emisiones (CH4),8836,50.89861751152074
Emisiones en tierras agrícolas,Emisiones (CO2eq) proveniente de N2O (AR5),8869,51.08870967741935
Emisiones en tierras agrícolas,Emisiones (CO2eq) (AR5),8869,51.08870967741935
