Cluster,País_1,País_2,Años_overlap,Años_min_común,Años_max_común,Productos_comunes,Correlación,Años_solo_P1,Años_solo_P2,Rango_solo_P1,Rango_solo_P2
0,Armenia,Azerbaiyán,31,1992,2022,40,0.46517951428675636,0,0,N/A-N/A,N/A-N/A
0,Armenia,Belarús,31,1992,2022,40,0.08929934832761229,0,0,N/A-N/A,N/A-N/A
0,Armenia,Bélgica,23,2000,2022,40,-0.12311547714975837,8,0,1992-1999,N/A-N/A
0,Armenia,Bosnia y Herzegovina,31,1992,2022,40,0.47878921384744744,0,0,N/A-N/A,N/A-N/A
0,Armenia,Chequia,30,1993,2022,40,-0.12221859716228857,1,0,1992-1992,N/A-N/A
0,Armenia,Croacia,31,1992,2022,40,-0.0056997082134687144,0,0,N/A-N/A,N/A-N/A
0,Armenia,Eritrea,30,1993,2022,39,0.17509148070437314,1,0,1992-1992,N/A-N/A
0,Armenia,Eslovaquia,30,1993,2022,40,-0.2084495448751243,1,0,1992-1992,N/A-N/A
0,Armenia,Eslovenia,31,1992,2022,40,-0.12508915017591413,0,0,N/A-N/A,N/A-N/A
0,Armenia,Estonia,31,1992,2022,40,0.16430200303084938,0,0,N/A-N/A,N/A-N/A
0,Armenia,Etiopía,30,1993,2022,39,0.4998303591046885,1,0,1992-1992,N/A-N/A
0,Armenia,Federación de Rusia,31,1992,2022,40,0.06297385571899278,0,0,N/A-N/A,N/A-N/A
0,Armenia,Georgia,31,1992,2022,40,0.1757227796363779,0,0,N/A-N/A,N/A-N/A
0,Armenia,Kazajstán,31,1992,2022,40,0.3211229354542863,0,0,N/A-N/A,N/A-N/A
0,Armenia,Kirguistán,31,1992,2022,40,0.35764228797162606,0,0,N/A-N/A,N/A-N/A
0,Armenia,Letonia,31,1992,2022,40,0.06943991324606892,0,0,N/A-N/A,N/A-N/A
0,Armenia,Lituania,31,1992,2022,40,0.1033756588751515,0,0,N/A-N/A,N/A-N/A
0,Armenia,Luxemburgo,23,2000,2022,40,0.13135447408823545,8,0,1992-1999,N/A-N/A
0,Armenia,Macedonia del Norte,31,1992,2022,39,-0.052270485573887464,0,0,N/A-N/A,N/A-N/A
0,Armenia,Micronesia (Estados Federados de),31,1992,2022,39,0.1547875613511908,0,1,N/A-N/A,1991-1991
0,Armenia,Montenegro,17,2006,2022,40,0.15645413082219428,14,0,1992-2005,N/A-N/A
0,Armenia,Palestina,31,1992,2022,34,0.26022740622306684,0,2,N/A-N/A,1990-1991
0,Armenia,República de Moldova,31,1992,2022,40,-0.020104164637333923,0,0,N/A-N/A,N/A-N/A
0,Armenia,Serbia,17,2006,2022,40,0.018309605919847156,14,0,1992-2005,N/A-N/A
0,Armenia,Tayikistán,31,1992,2022,40,0.34797395077553717,0,0,N/A-N/A,N/A-N/A
0,Armenia,Turkmenistán,31,1992,2022,40,0.4904230671398689,0,0,N/A-N/A,N/A-N/A
0,Armenia,Ucrania,31,1992,2022,40,-0.00518351044308608,0,0,N/A-N/A,N/A-N/A
0,Armenia,Uzbekistán,31,1992,2022,39,0.27000852103440764,0,0,N/A-N/A,N/A-N/A
0,Armenia,Asia central,31,1992,2022,40,0.4112841282573089,0,0,N/A-N/A,N/A-N/A
0,Azerbaiyán,Belarús,31,1992,2022,40,0.1687173490025911,0,0,N/A-N/A,N/A-N/A
0,Azerbaiyán,Bélgica,23,2000,2022,40,-0.16824533734484667,8,0,1992-1999,N/A-N/A
0,Azerbaiyán,Bosnia y Herzegovina,31,1992,2022,40,0.4158965325655281,0,0,N/A-N/A,N/A-N/A
0,Azerbaiyán,Chequia,30,1993,2022,40,-0.03324721270573816,1,0,1992-1992,N/A-N/A
0,Azerbaiyán,Croacia,31,1992,2022,40,0.014030536554993553,0,0,N/A-N/A,N/A-N/A
0,Azerbaiyán,Eritrea,30,1993,2022,39,0.33509905580275307,1,0,1992-1992,N/A-N/A
0,Azerbaiyán,Eslovaquia,30,1993,2022,40,-0.05335138595761467,1,0,1992-1992,N/A-N/A
0,Azerbaiyán,Eslovenia,31,1992,2022,40,-0.17339953284199297,0,0,N/A-N/A,N/A-N/A
0,Azerbaiyán,Estonia,31,1992,2022,40,0.13024652660736805,0,0,N/A-N/A,N/A-N/A
