País,Año_min,Año_max,Años_span,Años_únicos,Continuidad_%,N_productos,N_elementos,N_combos_prod_elem,Cobertura_productos_%,Cobertura_elementos_%,Registros_totales,Densidad_datos_%,Registros_pre1990,Registros_post1990,Tiene_pre1990,Tiene_post1990,Cluster
Ucrania,1992,2022,31,31,100.0,42,9,233,97.67441860465115,100.0,8877,122.89907240758689,0,8877,False,True,0
Letonia,1992,2022,31,31,100.0,40,9,226,93.02325581395348,100.0,8542,121.92406508706823,0,8542,False,True,0
Croacia,1992,2022,31,31,100.0,41,9,230,95.34883720930233,100.0,8693,121.92145862552594,0,8693,False,True,0
Estonia,1992,2022,31,31,100.0,41,9,230,95.34883720930233,100.0,8689,121.86535764375877,0,8689,False,True,0
Federación de Rusia,1992,2022,31,31,100.0,42,9,232,97.67441860465115,100.0,8706,121.0511679644049,0,8706,False,True,0
Kazajstán,1992,2022,31,31,100.0,42,9,232,97.67441860465115,100.0,8663,120.45328142380423,0,8663,False,True,0
Eslovenia,1992,2022,31,31,100.0,41,9,230,95.34883720930233,100.0,8550,119.91584852734923,0,8550,False,True,0
Belarús,1992,2022,31,31,100.0,41,9,230,95.34883720930233,100.0,8535,119.7054698457223,0,8535,False,True,0
Lituania,1992,2022,31,31,100.0,41,9,230,95.34883720930233,100.0,8531,119.64936886395512,0,8531,False,True,0
Bélgica,2000,2022,23,23,100.0,40,9,227,93.02325581395348,100.0,6206,118.86611760199195,0,6206,False,True,0
Chequia,1993,2022,30,30,100.0,41,9,228,95.34883720930233,100.0,8105,118.49415204678363,0,8105,False,True,0
Eslovaquia,1993,2022,30,30,100.0,41,9,228,95.34883720930233,100.0,8105,118.49415204678363,0,8105,False,True,0
Luxemburgo,2000,2022,23,23,100.0,40,9,226,93.02325581395348,100.0,6070,116.77568295498268,0,6070,False,True,0
Kirguistán,1992,2022,31,31,100.0,41,9,219,95.34883720930233,100.0,7410,109.14714980114893,0,7410,False,True,0
República de Moldova,1992,2022,31,31,100.0,40,9,225,93.02325581395348,100.0,7611,109.11827956989247,0,7611,False,True,0
Azerbaiyán,1992,2022,31,31,100.0,41,9,230,95.34883720930233,100.0,7742,108.58345021037867,0,7742,False,True,0
Macedonia del Norte,1992,2022,31,31,100.0,40,9,226,93.02325581395348,100.0,7587,108.29289180702256,0,7587,False,True,0
Georgia,1992,2022,31,31,100.0,41,9,225,95.34883720930233,100.0,7537,108.0573476702509,0,7537,False,True,0
Uzbekistán,1992,2022,31,31,100.0,41,9,221,95.34883720930233,100.0,7384,107.77988614800759,0,7384,False,True,0
Tayikistán,1992,2022,31,31,100.0,42,9,223,97.67441860465115,100.0,7403,107.08809489367859,0,7403,False,True,0
Etiopía,1993,2022,30,30,100.0,40,9,211,93.02325581395348,100.0,6686,105.62401263823065,0,6686,False,True,0
Armenia,1992,2022,31,31,100.0,40,9,224,93.02325581395348,100.0,7234,104.17626728110598,0,7234,False,True,0
Montenegro,2006,2022,17,17,100.0,40,9,225,93.02325581395348,100.0,3977,103.97385620915031,0,3977,False,True,0
Bosnia y Herzegovina,1992,2022,31,31,100.0,41,9,226,95.34883720930233,100.0,7252,103.51127604910077,0,7252,False,True,0
Asia central,1992,2022,31,31,100.0,42,9,229,97.67441860465115,100.0,7311,102.98633610367658,0,7311,False,True,0
Serbia,2006,2022,17,17,100.0,41,9,226,95.34883720930233,100.0,3944,102.65486725663717,0,3944,False,True,0
Turkmenistán,1992,2022,31,31,100.0,41,9,223,95.34883720930233,100.0,6975,100.89686098654708,0,6975,False,True,0
Eritrea,1993,2022,30,30,100.0,39,9,207,90.69767441860465,100.0,6200,99.8389694041868,0,6200,False,True,0
Micronesia (Estados Federados de),1991,2022,32,32,100.0,40,8,199,93.02325581395348,88.88888888888889,6261,98.31972361809045,0,6261,False,True,0
Palestina,1990,2022,33,33,100.0,34,9,192,79.06976744186046,100.0,6055,95.56502525252525,0,6055,False,True,0
Países Anexo I,1961,2022,62,62,100.0,42,9,233,97.67441860465115,100.0,11920,82.51419077945452,2088,9832,True,True,1
Mundo,1961,2022,62,62,100.0,43,9,241,100.0,100.0,12268,82.10413599250434,2088,10180,True,True,1
Estados Unidos de América,1961,2022,62,62,100.0,42,9,233,97.67441860465115,100.0,11860,82.09885089298076,2088,9772,True,True,1
Australia,1961,2022,62,62,100.0,42,9,232,97.67441860465115,100.0,11794,81.99388209121246,2088,9706,True,True,1
Países No-Anexo I,1961,2022,62,62,100.0,42,9,233,97.67441860465115,100.0,11767,81.45507406894642,2088,9679,True,True,1
Francia,1961,2022,62,62,100.0,42,9,233,97.67441860465115,100.0,11754,81.36508376021044,2088,9666,True,True,1
Italia,1961,2022,62,62,100.0,42,9,234,97.67441860465115,100.0,11725,80.8174800110284,2088,9637,True,True,1
Grecia,1961,2022,62,62,100.0,42,9,233,97.67441860465115,100.0,11674,80.81129724491208,2088,9586,True,True,1
Japón,1961,2022,62,62,100.0,42,9,230,97.67441860465115,100.0,11517,80.76437587657784,2030,9487,True,True,1
Unión Europea (27),1961,2022,62,62,100.0,42,9,232,97.67441860465115,100.0,11614,80.74249165739711,2088,9526,True,True,1
Finlandia,1961,2022,62,62,100.0,41,9,229,95.34883720930233,100.0,11381,80.15917734892238,2001,9380,True,True,1
Hungría,1961,2022,62,62,100.0,42,9,233,97.67441860465115,100.0,11573,80.11214176934791,2088,9485,True,True,1
